Reviewer_rating,Review_Date,Review_text
 5     ,,
 1     ,,
 1     ,,
 1     ,,
 5     ,"June 26, 2019","Earlier my experience with swiggy wasn't that great , But after forcing myself to use this platform instead of zomato just to compare it in a better way , I can clearly say that the experience has been great. I had issues with late customer care service but that thing has been pretty much fixed , Wo...
Full Review"
 1     ,"June 24, 2019","Swiggy doesn't allow cancellation for paid orders even if you try to cancel it within 1 second after ordering. Neither does it alows to change address. You have to chat with a bot and after much waste of time Swiggy cancels the order and deduct Rs.200 on a Rs.1000 order. Pathetic customer service. D...
Full Review"
 1     ,"June 26, 2019","Customer service is pathetic. Chat window freezes after 1 minute. It says it'll take 5 minutes, but even after 15 minutes there's no response. edit: it's not wrt the order. it's the customer service feature of the app. why is it crashing? a wait time of 5 minutes is a lot. if I'm waiting for so long...
Full Review"
 1     ,"June 23, 2019","It was good. No quick customer support, still insist you to take swiggy super subscription and after subscribing to super still the same story no quick help for any of the queries. I have been with swiggy for 4 years from now and this isn't expected. Very poor customer support!"
 1     ,"June 25, 2019","pathetic delivery service in Bengaluru. The customet service will not give you a straight answer and keeps you waiting until you are frustrated and cancel the order. that way it wont reflect poorly on their operations. They did it because of 'customer request'. such a scam. There used to be a time w...
Full Review"
 1     ,"June 21, 2019","In bhubaneswar the service is v bad . They would take the order but then ask you for cancellation . why cant they simply say that is food or this hotel is unserviceable ? and the money that you have paid will come back to you after 5 to 9 days which means you can't get access to the money that belon...
Full Review"
 1     ,"June 25, 2019","Initial days, the application was useful & there was no need for support. On Swiggy's delivery issue, I was also not informed that there will be a delay & made me to wait 3 hours for lunch & it was evening when I got frustrated & cancelled the order. This happened on June 8th & till date I didn't re...
Full Review"
 1     ,"July 6, 2019","this is the worst food dilivery app ever. the customer service is the absolutely horrible. they take so long to reply. the app cheats of money and the dilivery executives are always late. I have never had an order delivered on time. when you call customer service they act like monkeys and read the s...
Full Review"
 1     ,"June 25, 2019","The app interface is great there is no doubt but I feel that the swiggy team is keeping its customers in dark. I had reported four formal complaints to Swiggy Support team and all that I have ever received is discount coupons. A customer cannot fill his stomach with coupon and the anger of customer ...
Full Review"
 1     ,"June 26, 2019","How poor service does swiggy provide, ordered food from kfc at 9:15 and got a call at 10:45 that your order is cancelled, store is closed. On first call delivery boy says they are bringing food and on next call says, store is closed. Silly customer care people says we can't do anything if you have w...
Full Review"
 1     ,"June 23, 2019","Once I ordered and the restaurant sent burnt away food. I talked with Swiggy support and all they said was sorry we will forward this to restaurant,instead of try to solve the problem or do something like zomato where they compensate for it. Swiggy support team is worst and my money and time is wast...
Full Review"
 1     ,"June 26, 2019","Good way to get people to pay for the order already, i paid for an order in cash and the delivery guy showed that order as cancelled coz i couldnt be contacted. luckily this order was from a hotel where in there are cameras everywhere showing him taking cash payment. what if i was at home with no vi...
Full Review"
 1     ,"June 24, 2019","Worst delivery app & service. I ordered food from Thalaserry hotel at Coimbatore. Ordered 4 items, but received only 2 items. Spoke to Swiggy, they didn't arrange someone to pick up the remaining food, they said they will refund after 7 days. It was already 11pm and most of the nearby restaurants ar...
Full Review"
 2     ,"June 29, 2019","Immediate redirection of a Swiggy order to a different nearby address is difficult and practically impossible. The back-end office has no clue how to do it nor does the delivery partner. In a situation like this, the customer is hit very badly. All kinds of accusations are targeted towards the custo...
Full Review"
 5     ,"July 7, 2019","Thank you, you stood with your word by helping me, its time for me to keep up my word. LOVE YOU 3000 SWIGGY."
 2     ,"June 25, 2019","Customer service can be way better. Time to time my order gets delayed and there's no communication it's just same response, it would better if they communicate actual reason or just cancel the order from their side. I had to wait for hours and then cancel the order myself."
 1     ,"July 4, 2019","get another service. these guys will make you pay for the delivery and will not have the patience to wait for 5 mins, to deliver your food. moreover they threaten to cancel your paid orders, if You are few minutes late to answer the call. do yourself a favour and get another service... they even inc...
Full Review"
 1     ,"June 25, 2019","Pathetic app..... Glitches all the time. Recently I placed a order and due to a glitch in the app the restaurant was not at the place where it was showing on the map and after 15 mins i get a call from the delivery guy stating that the restaurant in not there at the place shown on the map... Hence I...
Full Review"
 1     ,"June 25, 2019","it is charging more than the compatotion for the same item , their super charges shows that anytime they can eat food you arderd, they are trying to wind up by eating customer food dont go for it . Today also your super charges on Bangalore not removed ... i had a option to use ZOMATO. Zomato does n...
Full Review"
 1     ,"June 27, 2019","pathetic service. last night a delivery person picked up my order and didn't deliver it. it was showing the order is delivered in the app, we called the customer care, they apologized several times. we trusted them. again i order my breakfast today morning and paid the amount online, but i didn't re...
Full Review"
 1     ,"June 29, 2019","Usually good. Just beyond terrible the last time. Had my wisdom tooth extracted and had to drink only juices. Had placed on order for juices Swiggy. More than an hour later, Swiggy calls me and says the order had been cancelled due to a technical issue. 1. You should have called earlier. It was near...
Full Review"
 1     ,"July 6, 2019","most times they do a great job but slip up on occassions. the compensation that they offer is ridiculous. they have to understand that everything cannot be bought with a few bucks, it's the experience. from my order one chocolate brownie from Leone's Grill was missing. the solution that they offered...
Full Review"
 1     ,"June 25, 2019","Waste delivery...i never seen like this (Bommu Maneesh hyd) he called for order and talked to me like irrespectable talk and not showing respect to customers and i Didn't Receive my order too. and saying me to come me to another street to take order and he is not suitable for Delivery... without kno...
Full Review"
 1     ,"July 2, 2019","very much disappointed with the current service. through the app the restaurant is available along with the food, but after placing the order. order is getting cancelled due to restaurant been closed or order not available. I have faced this issue multiple times. If the restaurant is closed or if th...
Full Review"
 1     ,"June 20, 2019","Horrible Customer care centre. My order on China Pearls on 19th June was refused to be delivered by Delivery boy for some technical error. It didnt recognize my registere home address with Swiggy. On dozen of request, neither Customer care & nor Delivery boy deliverd food till 10.30 PM. Order was ca...
Full Review"
 1     ,"June 25, 2019","After paying for the food, the amount gets debited from my account but there is no confirmation of the order. This happened multiple times and I'm fed up with this. The customer query support is the worst. Hats off to the customer query handling team for your immense support. Going to uninstall the ...
Full Review"
 1     ,"July 1, 2019","Swiggy service has become worst now a days guys,please don't use their services. There is no guarantee for the delivery, They'll cancel the orders after waiting for 2 hours ,again we have to place the order that might take another 1 hour.Be prepare for 3 hours to eat the food. Multiple times we have...
Full Review"
