Reviewer_rating,Review_Date,Review_text
 1     ,,
 1     ,,
 1     ,,
 1     ,,
 1     ,"July 7, 2019","(715882) this is my latest request number. for a single issue you guys are unresponsive since past one month. I've written so many times to you now, but no response. what kind of waste support you guys are providing? do you even have a support process or is it all fake? im waiting for my refund on o...
Full Review"
 1     ,"June 20, 2019","The apps not working properly since past 3 days, no restaurant is accepting orders, orders are getting canceled due to unavailability of riders. The app's a mess. I had a nice experience on Zomato but recently I've faced a lot of issues with this App. I preferred it over other competitors but now I ...
Full Review"
 1     ,"June 20, 2019","They tell you a false duration the order will take and change it after ordering. I ordered from a place where they showed 20-30 mins delivery time and as soon as I placed the order it showed a 55 minute delivery time. When I called the restaurant after 50 mins they said 30 mins more. When I contacte...
Full Review"
 1     ,"June 29, 2019","The food I ordered has never been delivered on time. Every time repeating the same mistakes with an apology, stands nowhere acceptable. We expect accountability on your part as we are not directly dealing with the restaurants. I have always waited for the delivery time which is specified after the f...
Full Review"
 1     ,"June 30, 2019","Worst service. Delivery guy cancelled the delivery and i didnt even get my money refunded. Lost my Rs. 350 for nothing. Be careful while ordering, here everything is done as per wish of delivery guy and customer has to suffer the loss. Here delivery guy decide whether they want to deliver the item t...
Full Review"
 1     ,"June 22, 2019","wanted to place one order. tried payment. app said payment failed, for nearly 5+ minutes. then I made a repayment. but turns out that money got debited twice and I got same order twice, at the same time. waste of food, loss of money, and customer support didn't even understand what I was trying to s...
Full Review"
 1     ,"July 6, 2019","It did not help me when my money got deducted for the zomato delivery boy. He ate up my food. Neither he called me nor he delivered the food. And then suddenly his phone got connected and he said my phone was not reachable so he himself cancelled the order. When I called up the resturant, they said ...
Full Review"
 1     ,"July 5, 2019","it's the worst app they don't listen to you problem i have talked to zomato agent 4 times and they were not able to help me . they just said wait for 24hrs we will help you my matter was that i have ordered rasmalai and then cancelled it as we all know that they can't charge the cancellation fee for...
Full Review"
 1     ,"June 22, 2019","These guys are really stupid. They will always take advantage of the situation. I had cancelled an order in under a minute after it got placed and they want to charge me because they say the food was prepared under 30 seconds. Even the restaurant refused that they hadn't placed the order. Atleast ha...
Full Review"
 4     ,"July 1, 2019","the app is very good for the ones who have to order late night. You dont have to interact with the people at the restraunat you can just get your food at your door step. i gave 4 stars because when u have given the order then u cant change the payment method and there are very little adds too. overa...
Full Review"
 1     ,"June 30, 2019","i have been waiting for my order for more than 1 hour and could not get the status on the app, customer support is not responding, restaurant phone number is not reachable, could not see the agent if it is assigned but it is showing the order is confirmed. i dont know whom to contact mow, looks like...
Full Review"
 1     ,"July 6, 2019","Very bad overall experience ! Order was placed and confirmed , after an hour , I recieve a call from the driver to wait an additional 45 minutes! customer service had been contacted , I had been transferred 3 different times! ( NO ONE SEEMED INTERESTED IN MY ISSUE) While even being transferred the s...
Full Review"
 1     ,"June 20, 2019","i had cancelled an order on zomato. they are charging me for that. they call it cancellation penalty. i wasnt informed that i have to pqy cancellation penalty. the penalty is equivalent to the amount i had ordered. so basically i can't even cancel an order. what is this? this is absolutely unpardona...
Full Review"
